User,John Wick,Wild Robot,American Gangster,Zero Dark Thirty,Wicked,User Average
Mills,1.0,0.5,0.5,1.0,0.0,0.6
Chris,0.0,,1.0,,1.0,0.6666666666666666
Angel,1.0,1.0,1.0,1.0,0.0,0.8
Isaiah,0.0,0.0,0.0,0.0,0.5,0.1
Macho,1.0,0.5,1.0,0.3333333333333335,0.7000000000000002,0.7066666666666668
